hospital_clean,medical_condition,total_admissions,average_billing
adams-harper,Cancer,1,33690.75511664551
adams-harrington,Diabetes,1,51055.70560747612
adams-harris,Hypertension,1,28605.60588639067
adams-henry,Cancer,2,15422.665060077768
adams-hicks,Diabetes,2,31803.71743438902
adams-hinton,Hypertension,1,50687.82859646523
adams-howard,Obesity,1,37664.09137037292
adams-jackson,Diabetes,1,31875.568921074107
adams-johnson,Asthma,1,4143.559964197186
adams-johnson,Cancer,1,14812.651834022796
adams-kim,Hypertension,1,46094.97543990929
adams-krause,Asthma,1,51144.91573779364
adams-lee,Diabetes,1,38656.08286353556
adams-marquez,Diabetes,1,6114.078262692367
adams-martin,Hypertension,2,41294.72235846559
adams-massey,Diabetes,1,43088.55694564542
adams-mcclure,Hypertension,1,10399.751121895408
adams-mcgrath,Cancer,1,9478.332331598753
adams-mendoza,Hypertension,1,38864.54892403486
adams-mitchell,Hypertension,1,22922.301783081137
adams-molina,Obesity,1,21576.50234553873
adams-nash,Arthritis,1,35345.735793795095
adams-ortega,Diabetes,1,10558.404693718234
adams-reynolds,Obesity,1,31592.33826099132
adams-rice,Asthma,1,22000.878066197944
adams-richardson,Hypertension,1,18445.498468144004
adams-rodriguez,Cancer,1,3467.371607044034
adams-salazar,Obesity,1,8622.673688303508
adams-savage,Obesity,1,29683.962926094813
adams-simmons,Arthritis,1,39988.48086325008
adams-simmons,Diabetes,1,11892.9586123007
adams-smith,Arthritis,1,30151.502148981363
adams-stewart,Cancer,1,8471.173546455668
adams-stuart,Cancer,1,28118.435650847365
adams-thompson,Arthritis,1,37041.50630647845
adams-thompson,Diabetes,1,17124.944902756957
adams-valencia,Obesity,1,20264.21424262133
adams-vazquez,Arthritis,1,33126.96002302482
adams-velasquez,Arthritis,1,6481.966282062389
adams-velez,Diabetes,1,31350.35509345363
adams-woods,Arthritis,1,6929.711674537008
adkins group,Hypertension,1,7361.438124217134
"adkins hale mueller, and",Asthma,1,31562.07963957429
adkins inc,Arthritis,1,9882.729826810082
adkins inc,Cancer,1,45899.81304845503
"adkins knapp and richards,",Hypertension,1,3470.7600334611084
adkins llc,Diabetes,1,43841.3537408938
adkins plc,Obesity,1,44660.886377644005
adkins sons and,Cancer,1,15259.04620010742
adkins sons and,Diabetes,1,28626.47507808019
"adkins torres graves, and",Hypertension,1,41364.04143463318
"adkins wade simmons, and",Asthma,2,42071.0436111964
"adkins, and morrow russo",Asthma,1,41525.93402277889
"adkins, garcia pratt and",Diabetes,1,13204.247515823276
"adkins, guerrero and kelly",Arthritis,1,2579.0055923767613
"adkins, logan and johnson",Arthritis,1,13069.809280613445
adkins-avila,Cancer,2,23284.176154268764
adkins-black,Arthritis,1,15876.243816516064
adkins-cantu,Asthma,1,38421.23731954554
adkins-carter,Asthma,1,15695.385216496925
adkins-cox,Asthma,2,28559.161643420142
adkins-gonzalez,Obesity,1,48237.39638741477
adkins-griffin,Cancer,1,18795.188166792803
adkins-holmes,Obesity,1,40338.76611635626
adkins-jackson,Arthritis,1,30272.59995792244
adkins-jackson,Obesity,1,8345.509136311146
adkins-martin,Arthritis,1,20283.371399483098
adkins-scott,Cancer,1,3852.410756471804
"aguilar adams, and morrison",Diabetes,1,49348.81063989308
"aguilar aguilar tyler, and",Asthma,1,43835.12280703835
"aguilar cardenas and frederick,",Arthritis,1,6611.762238907894
aguilar group,Obesity,1,37990.32924845545
"aguilar guzman, and pratt",Obesity,1,31250.554347570924
aguilar inc,Cancer,2,15877.616492335344
aguilar inc,Obesity,1,-529.9630057657419
"aguilar kim and baker,",Hypertension,1,7904.354340538893
"aguilar klein, thompson and",Arthritis,1,2242.773718941319
"aguilar lawson and joseph,",Obesity,1,31374.310160836267
aguilar ltd,Asthma,1,24640.18300393844
aguilar ltd,Cancer,1,36248.59598354827
aguilar ltd,Obesity,2,39645.323588011415
"aguilar miller, allen and",Arthritis,1,35507.915624640445
"aguilar mullins and schmidt,",Obesity,1,27670.95200163641
aguilar plc,Cancer,1,51731.65988393204
aguilar plc,Obesity,1,34751.30174121459
aguilar sons and,Diabetes,1,13945.102754290505
"aguilar, and dean williams",Asthma,1,25046.039385183376
"aguilar, and wilson perez",Asthma,1,35263.52787330262
"aguilar, castaneda and johnson",Hypertension,1,24132.34210081828
"aguilar, schwartz and molina",Diabetes,2,34764.3673597801
"aguilar, spencer sanders and",Arthritis,1,13913.054456194186
aguilar-bass,Arthritis,1,14896.97500213013
aguilar-blake,Cancer,1,4661.630299317257
aguilar-conley,Obesity,1,38508.56458590128
aguilar-ellison,Asthma,1,28219.33701729036
aguilar-freeman,Cancer,1,44602.39096460846
aguilar-guzman,Diabetes,1,37666.97297468458
aguilar-harris,Obesity,1,43502.0322283621
aguilar-hill,Diabetes,1,47819.38620596655
aguilar-howard,Asthma,1,24049.26056308928
aguilar-leonard,Hypertension,1,25065.028364768023
aguilar-lopez,Hypertension,1,34859.71140288225
aguilar-lowery,Arthritis,1,44938.46370059752
aguilar-martinez,Hypertension,2,49735.31400604339
aguilar-moreno,Cancer,1,30451.23586420147
aguilar-parsons,Asthma,2,22218.528108086808
aguilar-pearson,Diabetes,2,44187.65250845714
aguilar-scott,Hypertension,1,24198.45380234476
aguilar-silva,Hypertension,1,9169.665987221686
aguilar-vega,Hypertension,1,23651.29838951585
aguilar-waller,Hypertension,1,28899.31330932221
"aguirre bell, and ramsey",Hypertension,1,23923.28578032232
aguirre group,Arthritis,1,20490.089070943224
aguirre group,Obesity,2,25041.35415181617
aguirre llc,Arthritis,3,23378.242423000687
aguirre llc,Hypertension,1,43288.54319344859
aguirre ltd,Arthritis,2,39882.94016260866
aguirre ltd,Cancer,1,30217.88331469571
"aguirre turner, reed and",Obesity,1,17197.143349978174
aguirre-christensen,Diabetes,1,50702.73856650449
aguirre-davis,Hypertension,2,14594.942781078978
aguirre-edwards,Diabetes,1,38846.53258875423
aguirre-graves,Arthritis,1,9082.931661852006
aguirre-pennington,Arthritis,2,48427.155822162735
aguirre-perkins,Arthritis,1,9004.860244555664
aguirre-pugh,Arthritis,1,50025.48595002324
aguirre-rodriguez,Cancer,1,35487.83867902094
aguirre-sims,Diabetes,1,5367.369886690083
aguirre-wang,Hypertension,2,47399.62297983624
aguirre-williams,Asthma,1,17139.18540098727
"alexander and castillo, mason",Diabetes,1,27773.27091855991
"alexander and graham jennings,",Obesity,1,40185.484031437525
"alexander and jensen andrews,",Diabetes,1,3730.002190896625
alexander group,Arthritis,1,34742.412643431344
alexander group,Cancer,2,18694.545709913127
alexander group,Diabetes,1,35174.895180282656
"alexander hays, and hernandez",Hypertension,1,32078.94696620128
alexander inc,Asthma,1,31921.729833086472
alexander inc,Diabetes,1,12220.51750234764
alexander ltd,Asthma,1,48385.8967939849
"alexander martinez, love and",Asthma,1,47267.18132984891
"alexander patton, lowery and",Hypertension,1,39252.17654558961
alexander plc,Arthritis,1,32178.73708044379
alexander plc,Diabetes,1,29998.547365925264
"alexander simmons and martinez,",Asthma,1,14648.1731090729
"alexander turner, stout and",Cancer,1,32268.984239523284
"alexander wagner and hill,",Asthma,1,13919.857783314132
"alexander williams and dixon,",Arthritis,1,24919.653962631062
"alexander, and ewing lopez",Obesity,1,17672.310211744523
"alexander, and norris williams",Hypertension,1,46475.60752091189
"alexander, baker howell and",Asthma,1,27182.701381702867
"alexander, morris and hayes",Hypertension,1,33418.30991219464
"alexander, schneider and wilson",Cancer,1,5702.770921415536
alexander-austin,Asthma,2,16375.79813324777
alexander-bradley,Obesity,1,5745.695423817769
alexander-brady,Asthma,1,7885.137380422074
alexander-brooks,Cancer,1,35969.447558831926
alexander-cantu,Cancer,1,3666.835905366365
alexander-duncan,Hypertension,2,45523.8745912582
alexander-gallagher,Cancer,1,42050.69408496628
alexander-george,Hypertension,1,10320.157374724857
alexander-howard,Asthma,1,11095.552687758069
alexander-howard,Obesity,1,41700.16740306777
alexander-lopez,Diabetes,1,37858.959099995154
alexander-manning,Cancer,1,39849.78620078448
alexander-mcdaniel,Cancer,1,14465.143560720133
alexander-middleton,Asthma,2,38397.02332217552
alexander-moore,Arthritis,1,12065.00979107044
alexander-moore,Hypertension,1,42043.21306087887
alexander-murphy,Asthma,1,24562.011307460576
alexander-nichols,Asthma,1,14076.60265811342
alexander-oconnor,Cancer,1,41150.19068714818
alexander-sanchez,Obesity,1,45713.63567265297
alexander-saunders,Asthma,1,12646.91879665464
alexander-silva,Asthma,1,29527.81172194658
alexander-smith,Asthma,1,5075.779660675277
alexander-smith,Obesity,1,3253.6688708981223
alexander-snyder,Arthritis,1,26222.831906356
alexander-soto,Asthma,1,6967.802611187323
alexander-stone,Diabetes,2,20880.33759045464
alexander-villa,Hypertension,1,6240.272939476931
alexander-walker,Cancer,1,50102.68090356146
alexander-white,Arthritis,1,24371.00618532688
"ali and chambers, dawson",Diabetes,1,11508.817403538618
"ali and cox johnson,",Asthma,1,40115.17117856307
ali and sons,Arthritis,1,3973.147036905831
"ali and vargas montes,",Asthma,1,27852.696827381293
"ali fischer and howe,",Hypertension,1,37643.65313078171
ali group,Arthritis,1,19720.03590279593
ali plc,Diabetes,1,28903.439585419364
ali sons and,Arthritis,1,19008.85022250623
"ali, cooper gilbert and",Hypertension,1,24297.27054642948
ali-adams,Cancer,1,48015.58132683087
ali-baird,Obesity,1,13936.983518440633
ali-byrd,Obesity,2,49384.18296061201
ali-harris,Obesity,1,26999.38083224411
ali-james,Obesity,1,17716.573980871726
ali-marsh,Asthma,2,10730.44047050082
ali-warren,Asthma,1,37400.3340007884
"allen and bell, bell",Asthma,1,15894.562677000213
"allen and blackwell morgan,",Obesity,1,11689.465868441142
"allen and decker, gonzales",Cancer,1,13080.328422101446
"allen and duncan wright,",Obesity,1,32530.965624644094
"allen and gray, scott",Cancer,1,7860.763929963256
"allen and ho wheeler,",Obesity,1,35700.69481734484
"allen and hodge williams,",Diabetes,1,49225.84551000699
"allen and holmes schmidt,",Cancer,1,46444.961003215416
"allen and holt, ford",Hypertension,1,11138.86414144602
"allen and kelly garrett,",Hypertension,1,38072.72191134553
"allen and moore holmes,",Cancer,1,38385.72801169104
"allen and page graves,",Diabetes,1,14911.494399817366
"allen and smith tran,",Asthma,1,33969.18160341364
allen and sons,Asthma,1,42545.46662493989
allen and sons,Diabetes,2,19396.555051166382
"allen and taylor, matthews",Asthma,1,8088.27127050805
"allen and valdez, cantrell",Hypertension,1,3937.446413768994
"allen and warren johnson,",Hypertension,1,17432.584298214664
"allen and wilson rollins,",Hypertension,1,48564.86188967814
"allen baker, ross and",Obesity,2,37801.88929785128
"allen black, and collins",Diabetes,1,39325.20174327928
"allen campbell, and hurst",Hypertension,1,1583.377556893991
"allen carney and heath,",Diabetes,1,28848.271223757503
"allen castro and hill,",Diabetes,1,30204.029636620657
"allen davis todd, and",Hypertension,2,24101.200126685853
"allen decker taylor, and",Obesity,1,42029.95578856724
"allen garcia and wolf,",Asthma,1,25702.29961020404
"allen garcia, johnson and",Asthma,1,9728.726254102306
"allen gonzales and hill,",Obesity,1,45086.93284653263
allen group,Arthritis,3,25852.25388560222
allen group,Asthma,2,20723.05796762681
allen group,Cancer,1,47698.37177064769
allen group,Hypertension,3,32446.16270615338
"allen harrington grant, and",Hypertension,1,22053.97815066541
"allen hurst, gonzalez and",Diabetes,1,6640.904583334717
allen inc,Asthma,1,5598.052718805771
allen inc,Cancer,3,27075.339015880792
allen inc,Diabetes,2,27834.89822672669
allen inc,Obesity,2,32722.399685841363
"allen johnson, meyers and",Asthma,1,38891.28740136122
allen llc,Arthritis,1,4793.234854583429
allen llc,Cancer,2,9860.486041895976
allen llc,Diabetes,2,13800.564778147691
allen llc,Hypertension,1,22986.459334289484
allen ltd,Asthma,1,4483.627571307691
allen ltd,Cancer,1,35266.19109474784
allen ltd,Diabetes,2,36389.6356510024
allen ltd,Hypertension,2,29523.95583376252
allen ltd,Obesity,2,25508.604748234844
"allen orr, and frye",Cancer,1,27475.62082582691
"allen parker and estes,",Cancer,1,12448.688521969914
"allen payne, hamilton and",Arthritis,1,7555.249689822436
"allen pearson and kaiser,",Diabetes,1,31478.823232108585
"allen pitts, bryan and",Diabetes,1,44175.662832482354
allen plc,Cancer,1,23793.288581844296
allen plc,Diabetes,1,21110.79485331728
allen plc,Hypertension,3,18621.806160396838
allen plc,Obesity,3,28361.31408870422
"allen rodriguez, and stewart",Cancer,2,23090.34651992421
allen sons and,Obesity,1,39697.637312281855
"allen sparks and soto,",Arthritis,1,30406.91891749705
"allen stanley, woods and",Cancer,1,10994.08164285203
"allen thompson, and mcdonald",Obesity,1,49749.74278096646
"allen watson and robinson,",Asthma,1,18144.5109527321
"allen watson nguyen, and",Arthritis,2,17961.677802795915
"allen, and barnes smith",Hypertension,1,42951.1685218248
"allen, and blackwell taylor",Diabetes,2,27731.518693698574
"allen, and fischer richardson",Cancer,1,16231.990151075104
"allen, and jackson harrell",Hypertension,1,7773.535570546508
"allen, and jensen hurley",Obesity,1,38867.029219458505
"allen, and parker lynch",Arthritis,1,17077.983086516724
"allen, and rodriguez randolph",Cancer,1,45226.35875974605
"allen, and velasquez wilcox",Arthritis,1,10986.840498436191
"allen, cantu orozco and",Arthritis,1,39835.72629138816
"allen, chaney rice and",Hypertension,1,24874.74569758429
"allen, cross and collins",Arthritis,2,39691.59854497796
"allen, davies and mcintyre",Obesity,1,34612.995379515145
"allen, frank moore and",Hypertension,1,34093.450114743195
"allen, harrell schmidt and",Obesity,1,21085.72932062217
"allen, jackson and brown",Hypertension,1,44859.99185909337
"allen, jackson and walker",Asthma,1,14310.077356406444
"allen, jenkins mcknight and",Cancer,1,4909.021893221189
"allen, johns and holland",Obesity,1,19210.033245868293
"allen, johnson and cooper",Diabetes,1,6242.868471515046
"allen, miller and reed",Diabetes,1,28090.02566161433
"allen, quinn mitchell and",Cancer,1,4360.795860611728
"allen, turner and allen",Obesity,1,15023.330023686907
"allen, wall and wade",Arthritis,1,2541.1396626759592
"allen, williams and phillips",Diabetes,1,26612.008450387897
allen-allen,Arthritis,1,32.626842628800205
allen-anderson,Obesity,1,37851.98601473204
allen-austin,Arthritis,1,16253.357586680208
allen-baker,Arthritis,1,3183.817786566121
allen-baker,Obesity,1,30679.1985959179
allen-bond,Asthma,1,4676.292278810419
allen-brown,Arthritis,1,10475.388459110867
allen-brown,Asthma,1,14081.363987680552
allen-byrd,Asthma,1,7980.41021938764
allen-campbell,Diabetes,1,47863.02391959248
allen-cherry,Asthma,1,11624.314808842568
allen-cooke,Asthma,1,9949.006707747638
allen-copeland,Cancer,1,11416.336227479263
allen-cowan,Arthritis,1,41859.308950545295
allen-crawford,Arthritis,1,28065.60537522261
allen-cunningham,Arthritis,1,42499.4729541522
allen-davenport,Arthritis,1,12473.486298468282
allen-deleon,Diabetes,1,19013.672578215672
allen-duran,Asthma,1,24712.63856746761
allen-evans,Hypertension,1,46853.54700224952
allen-ferguson,Obesity,1,9818.957977737597
allen-fisher,Arthritis,1,44451.34072345634
allen-fisher,Hypertension,1,15310.280871492863
allen-ford,Arthritis,1,4478.272056186765
allen-foster,Diabetes,1,17311.64576448347
allen-french,Diabetes,1,30351.123435172896
allen-garcia,Obesity,1,34771.42408224989
allen-gomez,Obesity,1,47988.08461875587
allen-gray,Hypertension,2,50189.232368190336
allen-hall,Cancer,1,23713.85291852238
allen-hall,Obesity,1,8790.151457769223
allen-hernandez,Obesity,1,48761.16796765754
allen-hill,Arthritis,1,16731.41934103023
allen-hoffman,Diabetes,1,30672.80428108192
allen-holland,Arthritis,2,38982.34512463429
allen-horn,Diabetes,1,9831.1117476649
allen-horne,Obesity,1,32066.23629575008
allen-howell,Cancer,1,4345.9970429152345
allen-james,Cancer,1,1831.710329879088
allen-johnson,Asthma,1,32615.702523960063
allen-johnson,Diabetes,1,20246.01546212993
allen-johnson,Hypertension,2,20162.117317391556
allen-jones,Cancer,1,29627.887342260023
allen-leon,Obesity,1,36258.22067197377
allen-lowery,Hypertension,1,43439.2864551016
allen-lynch,Hypertension,1,23511.666814070184
allen-marshall,Asthma,1,1593.2745407453235
allen-mcguire,Asthma,1,20855.89823481401
allen-mckee,Diabetes,1,1419.3595254683405
allen-moore,Obesity,2,28680.412390152
allen-morales,Diabetes,1,1144.381713508432
allen-mueller,Obesity,2,40389.99519630005
allen-newton,Asthma,1,1210.0816356532562
allen-nguyen,Obesity,1,32923.6902858936
allen-ortiz,Obesity,1,12239.539895264268
allen-parrish,Cancer,1,23569.42117630321
allen-perez,Cancer,1,10965.695749178813
allen-perez,Diabetes,1,41780.952397239744
allen-powers,Cancer,1,25939.74170668979
allen-price,Arthritis,1,41176.15260105886
allen-price,Obesity,1,19824.13543556508
allen-ramos,Obesity,1,3945.23598809606
allen-rice,Hypertension,1,26718.27261285043
allen-rich,Obesity,1,39960.48397751684
allen-robertson,Hypertension,1,8531.685323848684
allen-rodriguez,Diabetes,1,30002.31460752249
allen-russell,Obesity,1,745.2879769613587
allen-sawyer,Asthma,1,3468.949725677517
allen-scott,Cancer,1,29467.88348435858
allen-scott,Diabetes,1,24084.67109346678
allen-smith,Arthritis,1,2990.015259205159
allen-smith,Cancer,1,4847.819381959772
allen-spence,Diabetes,1,46320.14374741501
allen-spencer,Asthma,1,10256.476918729835
allen-sullivan,Asthma,1,14406.331523299365
allen-taylor,Obesity,1,10574.763617793682
allen-torres,Cancer,1,36480.587596194346
allen-tucker,Diabetes,1,42596.80097870932
allen-tyler,Asthma,1,16971.177510971425
allen-wallace,Cancer,1,586.5535687554365
allen-walsh,Cancer,2,32786.82136852234
allen-wilson,Cancer,1,38052.13195949273
allen-wood,Diabetes,1,31488.02792018141
allison llc,Arthritis,1,19510.77017651504
allison llc,Cancer,1,48296.93572812992
allison ltd,Asthma,1,37278.24747411527
allison ltd,Cancer,2,37759.531130455536
allison plc,Asthma,1,15593.004976999677
"allison price williams, and",Asthma,1,49795.37463070735
"allison rodgers sullivan, and",Arthritis,1,957.4506390118452
"allison strong and nixon,",Arthritis,1,4812.023314971754
"allison, and cruz moore",Obesity,1,35576.589360626385
allison-bailey,Obesity,1,34492.310633695
allison-black,Obesity,1,39778.59157370539
allison-cameron,Asthma,1,38578.53614823904
allison-moore,Arthritis,1,35149.37550604961
allison-walters,Arthritis,1,15048.827858026134
allison-williams,Arthritis,1,33653.64983287103
"alvarado and myers smith,",Arthritis,1,17138.940055102103
alvarado inc,Diabetes,2,18757.905329287507
alvarado inc,Obesity,1,39783.908058075016
alvarado llc,Arthritis,2,35062.79764984942
alvarado llc,Hypertension,2,40799.4641978422
alvarado llc,Obesity,1,4994.90865561323
"alvarado mcmahon and guerra,",Cancer,1,4955.957876138896
alvarado plc,Asthma,1,43198.534041926
alvarado plc,Obesity,2,24713.9633992693
"alvarado richard and brown,",Hypertension,1,14949.394660410511
"alvarado sullivan miller, and",Obesity,1,33378.64229368837
alvarado-allen,Asthma,1,44921.3353511875
alvarado-bradley,Arthritis,1,44947.06464675184
alvarado-carroll,Diabetes,1,10142.31343460072
alvarado-deleon,Obesity,1,27385.736227988127
alvarado-delgado,Obesity,1,40686.909262869136
alvarado-elliott,Hypertension,1,8415.98173713206
alvarado-gonzalez,Asthma,1,3194.7699797665514
alvarado-lopez,Diabetes,1,4762.55925858157
alvarado-martin,Hypertension,1,1077.1696809399066
alvarado-meza,Obesity,1,34732.278932869725
alvarado-prince,Diabetes,1,27277.197352774623
alvarado-scott,Cancer,1,6742.942082239654
alvarado-smith,Obesity,1,41817.3139496098
"alvarez and james, mcintosh",Obesity,1,36345.62990291734
"alvarez and mullins, barajas",Hypertension,1,6116.05395121726
"alvarez and sanchez taylor,",Diabetes,1,43664.11329133633
"alvarez and york rocha,",Obesity,1,14366.755876918607
"alvarez austin snyder, and",Hypertension,1,21513.52658434213
"alvarez clark, and francis",Asthma,1,29585.985112426424
"alvarez garcia, and watkins",Diabetes,1,39214.32216348669
alvarez group,Arthritis,1,4478.586245077192
alvarez group,Obesity,1,43728.546327919634
"alvarez hayes guzman, and",Asthma,1,7221.304253692377
alvarez inc,Cancer,1,45577.57158371121
alvarez llc,Diabetes,2,30826.494621405807
alvarez ltd,Arthritis,1,36039.65798628952
alvarez ltd,Cancer,3,38768.83573122235
alvarez ltd,Hypertension,4,33988.09649441818
"alvarez maldonado, and oconnor",Cancer,1,44408.94934284485
"alvarez moss smith, and",Cancer,2,35263.411466504
